,start,stop,middle,duration,keys,total,bandwidth,who,type,called_from,time,compressed
0,1713455684.735809,1713455684.7617555,1713455684.7487822,0.025946378707885742,"{('array-8838909ee9756e34565341881e2e6f0c', 120): 336}",336,12949.784005807382,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.212:38577,1713455684.7627091,
1,1713455684.735809,1713455684.7617555,1713455684.7487822,0.025946378707885742,"{('array-8838909ee9756e34565341881e2e6f0c', 120): 336}",336,12949.784005807382,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.212:38577,1713455684.8110113,
2,1713455684.7777872,1713455684.8084517,1713455684.7931194,0.030664443969726562,"{('array-8838909ee9756e34565341881e2e6f0c', 116): 336, ('array-8838909ee9756e34565341881e2e6f0c', 100): 336, ('array-8838909ee9756e34565341881e2e6f0c', 108): 336, ('array-8838909ee9756e34565341881e2e6f0c', 92): 336}",1344,43829.26366859489,tcp://10.201.0.212:45449,incoming_transfer,tcp://10.201.0.212:38577,1713455684.8110151,
3,1713455684.7785025,1713455684.8078537,1713455684.7937489,0.029351234436035156,"{('array-8838909ee9756e34565341881e2e6f0c', 116): 336, ('array-8838909ee9756e34565341881e2e6f0c', 100): 336, ('array-8838909ee9756e34565341881e2e6f0c', 108): 336, ('array-8838909ee9756e34565341881e2e6f0c', 92): 336}",1344,45790.23764499464,tcp://10.201.0.212:38577,outgoing_transfer,tcp://10.201.0.212:45449,1713455684.8308141,2533.0
4,1713455684.8043845,1713455684.844286,1713455684.824335,0.0399014949798584,"{('array-8838909ee9756e34565341881e2e6f0c', 87): 336}",336,8420.737121995231,tcp://10.201.0.212:38553,incoming_transfer,tcp://10.201.0.212:34699,1713455684.8463912,
5,1713455684.8396544,1713455684.8434978,1713455684.8449125,0.0038433074951171875,"{('array-8838909ee9756e34565341881e2e6f0c', 87): 336}",336,87424.69875930522,tcp://10.201.0.212:34699,outgoing_transfer,tcp://10.201.0.212:38553,1713455684.8585098,664.0
6,1713455684.8594837,1713455684.8670561,1713455684.8632698,0.0075724124908447266,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 65, 0, 0, 0): 3324}",3324,438961.8241239256,tcp://10.201.0.212:34699,incoming_transfer,tcp://10.201.0.212:38553,1713455684.8714833,
7,1713455684.8462558,1713455684.8684375,1713455684.857841,0.02218174934387207,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 124, 0, 0, 0): 3324}",3324,149852.92406246977,tcp://10.201.0.212:45449,outgoing_transfer,tcp://10.201.0.212:38577,1713455684.8772862,621.0
8,1713455684.7549932,1713455684.8689315,1713455684.8119624,0.1139383316040039,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 124, 0, 0, 0): 3324}",3324,29173.676261582114,tcp://10.201.0.212:38577,incoming_transfer,tcp://10.201.0.212:45449,1713455684.877296,
9,1713455684.7549932,1713455684.8689315,1713455684.8119624,0.1139383316040039,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 124, 0, 0, 0): 3324}",3324,29173.676261582114,tcp://10.201.0.212:38577,incoming_transfer,tcp://10.201.0.212:45449,1713455684.9001286,
10,1713455684.8910222,1713455684.897848,1713455684.894435,0.006825685501098633,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 96, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 112, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 104, 0, 0, 0): 3324}",9972,1460952.1634706068,tcp://10.201.0.212:38577,incoming_transfer,tcp://10.201.0.212:45449,1713455684.9001324,
11,1713455684.8462558,1713455684.8684375,1713455684.857841,0.02218174934387207,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 124, 0, 0, 0): 3324}",3324,149852.92406246977,tcp://10.201.0.212:45449,outgoing_transfer,tcp://10.201.0.212:38577,1713455684.9183867,621.0
12,1713455684.895562,1713455684.9049325,1713455684.9007416,0.009370565414428711,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 96, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 112, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 104, 0, 0, 0): 3324}",9972,1064183.3826425464,tcp://10.201.0.212:45449,outgoing_transfer,tcp://10.201.0.212:38577,1713455684.918389,1781.0
13,1713455684.8910222,1713455684.897848,1713455684.894435,0.006825685501098633,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 96, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 112, 0, 0, 0): 3324, ('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 104, 0, 0, 0): 3324}",9972,1460952.1634706068,tcp://10.201.0.212:38577,incoming_transfer,tcp://10.201.0.212:45449,1713455684.9309857,
14,1713455684.9262347,1713455684.9295325,1713455684.9278836,0.0032978057861328125,"{('block-info-_map_read_frame-c50155175b03e4c1ec9664317841e345', 64, 0, 0, 0): 3324}",3324,1007942.9219201851,tcp://10.201.0.212:38553,incoming_transfer,tcp://10.201.0.212:45449,1713455684.930989,
